"","pmfile","meanvalue","nrows"
"97","Datafiles/specdata/097.csv",1.74329593495935,2922
"98","Datafiles/specdata/098.csv",2.07593853333333,3652
"99","Datafiles/specdata/099.csv",1.0193234439834,3652
"100","Datafiles/specdata/100.csv",0.575614953271028,1096
"101","Datafiles/specdata/101.csv",2.267859375,730
"102","Datafiles/specdata/102.csv",1.91584563758389,1461
"103","Datafiles/specdata/103.csv",1.7569716553288,3652
"104","Datafiles/specdata/104.csv",1.63754896907216,2557
"105","Datafiles/specdata/105.csv",1.89726666666667,2191
"106","Datafiles/specdata/106.csv",1.72148648648649,730
"107","Datafiles/specdata/107.csv",3.02,365
"108","Datafiles/specdata/108.csv",1.7833384279476,3652
"109","Datafiles/specdata/109.csv",0.94401347826087,1826
"110","Datafiles/specdata/110.csv",1.53947717842324,2191
"111","Datafiles/specdata/111.csv",0.615598214285714,2922
"112","Datafiles/specdata/112.csv",1.62763265306122,2191
"113","Datafiles/specdata/113.csv",0.549642406876791,2922
"114","Datafiles/specdata/114.csv",0.699401708278581,3652
"115","Datafiles/specdata/115.csv",1.4937402173913,1461
"116","Datafiles/specdata/116.csv",1.7296273955774,4018
"117","Datafiles/specdata/117.csv",1.09218541666667,2557
"118","Datafiles/specdata/118.csv",0.718333333333333,365
"119","Datafiles/specdata/119.csv",1.97976282051282,365
"120","Datafiles/specdata/120.csv",0.862744350282486,4018
"121","Datafiles/specdata/121.csv",1.10866247832939,4018
"122","Datafiles/specdata/122.csv",2.54140335195531,1461
"123","Datafiles/specdata/123.csv",0.914932142857143,2191
"124","Datafiles/specdata/124.csv",2.40029575971731,2192
"125","Datafiles/specdata/125.csv",2.58570679156909,3287
"126","Datafiles/specdata/126.csv",1.9769712962963,1096
"127","Datafiles/specdata/127.csv",1.22830957683742,3287
"128","Datafiles/specdata/128.csv",2.38397955665025,3287
"129","Datafiles/specdata/129.csv",3.20738888888889,730
"130","Datafiles/specdata/130.csv",1.76557450980392,1096
"131","Datafiles/specdata/131.csv",1.15095658536585,1095
"132","Datafiles/specdata/132.csv",2.39985415162455,2192
"133","Datafiles/specdata/133.csv",2.76955945399393,4018
"134","Datafiles/specdata/134.csv",2.15688461538462,1096
"135","Datafiles/specdata/135.csv",3.32307142857143,1096
"136","Datafiles/specdata/136.csv",2.74296201923077,3287
"137","Datafiles/specdata/137.csv",3.02,365
"138","Datafiles/specdata/138.csv",2.23879701149425,3652
"139","Datafiles/specdata/139.csv",1.8987927480916,1461
"140","Datafiles/specdata/140.csv",2.5743273381295,3652
"141","Datafiles/specdata/141.csv",2.49771808510638,1826
"142","Datafiles/specdata/142.csv",0.816071428571429,1461
"143","Datafiles/specdata/143.csv",0.60489802955665,1826
"144","Datafiles/specdata/144.csv",0.579868526466381,3287
"145","Datafiles/specdata/145.csv",0.874423868312757,2191
"146","Datafiles/specdata/146.csv",0.935924528301887,730
"147","Datafiles/specdata/147.csv",0.872260912052117,2557
"148","Datafiles/specdata/148.csv",2.04848174224344,3287
"149","Datafiles/specdata/149.csv",2.02750239520958,1826
"150","Datafiles/specdata/150.csv",1.86316942857143,2922
"151","Datafiles/specdata/151.csv",1.49960210084034,1096
"152","Datafiles/specdata/152.csv",1.1923822556391,2922
"153","Datafiles/specdata/153.csv",1.40881405405405,1461
"154","Datafiles/specdata/154.csv",2.29842427797834,4018
"155","Datafiles/specdata/155.csv",2.47785185185185,730
"156","Datafiles/specdata/156.csv",0.565381587301587,2557
"157","Datafiles/specdata/157.csv",1.17641052631579,730
"158","Datafiles/specdata/158.csv",1.0819365819209,2922
"159","Datafiles/specdata/159.csv",0.780355263157895,1096
"160","Datafiles/specdata/160.csv",2.09830910447761,3652
"161","Datafiles/specdata/161.csv",0.504572483221477,1461
"162","Datafiles/specdata/162.csv",0.24195,365
"163","Datafiles/specdata/163.csv",0.906548888888889,1096
"164","Datafiles/specdata/164.csv",0.83238025477707,1461
"165","Datafiles/specdata/165.csv",1.03064033816425,3652
"166","Datafiles/specdata/166.csv",0.876097129186603,1461
"167","Datafiles/specdata/167.csv",0.687782206405694,2556
"168","Datafiles/specdata/168.csv",1.90749454545455,2922
"169","Datafiles/specdata/169.csv",1.22522727272727,365
"170","Datafiles/specdata/170.csv",1.4587450065703,3652
"171","Datafiles/specdata/171.csv",1.14740110584518,3652
"172","Datafiles/specdata/172.csv",1.90924094387755,3652
"173","Datafiles/specdata/173.csv",0.586671008403361,2557
"174","Datafiles/specdata/174.csv",1.11004893617021,1461
"175","Datafiles/specdata/175.csv",3.47266666666667,365
"176","Datafiles/specdata/176.csv",2.00652496050553,2192
"177","Datafiles/specdata/177.csv",2.06765685483871,3652
"178","Datafiles/specdata/178.csv",1.97614305555556,3287
"179","Datafiles/specdata/179.csv",0.42453851590106,3652
"180","Datafiles/specdata/180.csv",1.63656581632653,2557
"181","Datafiles/specdata/181.csv",2.03316161616162,1461
"182","Datafiles/specdata/182.csv",2.51642886597938,2191
"183","Datafiles/specdata/183.csv",1.90611111111111,1461
"184","Datafiles/specdata/184.csv",1.90610837320574,3652
"185","Datafiles/specdata/185.csv",0.863746072186837,3652
"186","Datafiles/specdata/186.csv",0.664557437070938,3287
"187","Datafiles/specdata/187.csv",1.96525,1096
"188","Datafiles/specdata/188.csv",1.0628497716895,3287
"189","Datafiles/specdata/189.csv",1.10241666666667,1461
"190","Datafiles/specdata/190.csv",0.980131594202899,2557
"191","Datafiles/specdata/191.csv",0.995860300429184,3652
"192","Datafiles/specdata/192.csv",0.890581935483871,1826
"193","Datafiles/specdata/193.csv",1.05457846153846,2557
"194","Datafiles/specdata/194.csv",0.926373178458289,3652
"195","Datafiles/specdata/195.csv",0.870002631578947,2191
"196","Datafiles/specdata/196.csv",0.885925263157895,3287
"197","Datafiles/specdata/197.csv",1.01605026315789,2557
"198","Datafiles/specdata/198.csv",1.69458820861678,3652
"199","Datafiles/specdata/199.csv",0.657835585585586,1826
"200","Datafiles/specdata/200.csv",2.00276293103448,3652
"201","Datafiles/specdata/201.csv",2.37464734299517,3287
"202","Datafiles/specdata/202.csv",2.48139065281899,4018
"203","Datafiles/specdata/203.csv",2.38228240740741,3287
"204","Datafiles/specdata/204.csv",1.02161417322835,1096
"205","Datafiles/specdata/205.csv",1.89139071038251,3652
"206","Datafiles/specdata/206.csv",2.04780273972603,730
"207","Datafiles/specdata/207.csv",1.76078431372549,731
"208","Datafiles/specdata/208.csv",1.77357723577236,1461
"209","Datafiles/specdata/209.csv",1.79453642384106,1461
"210","Datafiles/specdata/210.csv",1.07295268138801,2557
"211","Datafiles/specdata/211.csv",1.01028524590164,1096
"212","Datafiles/specdata/212.csv",2.60274509803922,365
"213","Datafiles/specdata/213.csv",1.86375444444444,3287
"214","Datafiles/specdata/214.csv",2.58910483870968,3287
"215","Datafiles/specdata/215.csv",1.71308492569002,3287
"216","Datafiles/specdata/216.csv",2.3091137254902,2191
"217","Datafiles/specdata/217.csv",2.37567403314917,1461
"218","Datafiles/specdata/218.csv",2.24485,2191
"219","Datafiles/specdata/219.csv",2.31487027027027,1462
"220","Datafiles/specdata/220.csv",2.0099,3652
"221","Datafiles/specdata/221.csv",1.02277961165049,1826
"222","Datafiles/specdata/222.csv",1.4412345814978,3287
"223","Datafiles/specdata/223.csv",1.3772871459695,3652
